源表行号,任务描述,优先级,关联需求,负责角色,任务执行人,启动日期,交付日期,预计工时（h）,进展,相关附件,③版本 Bug 记录-需求,发布版本-版本主要需求,模块编号
12,联调验收、问题修复与上线演示,高 - P0,"测试样机和测试环境,设备扫码取水全链路验收,后台追溯验收",测试,,2026-08-01 00:00:00,2026-08-18 00:00:00,136,未开始,,,V1.0,VER-11
13,二期商城、健康与营销增强预留,低 - P2,"完整商城首页,商品订单,商品库存,商城配送履约,前置仓管理,商品退换货,随机卡券,广告公告基础增强,完整广告分账,健康档案系统接入,健康标签和商品推荐,深度经营分析,远程参数同步,远程升级 OTA,屏幕内容推送",产品经理,,2026-08-19 00:00:00,2026-09-30 00:00:00,336,未开始,,,V2.0,VER-12
14,三期渠道、异地用水与平台化扩展预留,低 - P2,"渠道端完整管理,多级渠道结算,加盟管理,异地用水,跨站收益清算,母卡备用方案,完整广告投放与收益体系,多项目/多品牌复制",产品经理,,2026-10-01 00:00:00,2026-11-15 00:00:00,360,未开始,,,V3.0,VER-13
17,微信小程序统一入口与多身份上下文,高 - P0,微信小程序统一入口与多身份切换,研发,,2026-07-08 00:00:00,2026-07-15 00:00:00,56,未开始,,,V1.0,VER-14
18,用户端功能范围补齐：首页、扫码、水卡、送水、健康入口,高 - P0,"用户端功能开发范围,家庭成员自愿填报与奖励机制",研发,,2026-07-08 00:00:00,2026-07-18 00:00:00,80,未开始,,,V1.0,VER-15
19,配送端履约、准入、通知、签收申诉与多水种骨架,高 - P0,"配送端功能开发范围,配送状态通知与签收申诉追踪,容器规格提示与回收记录,多水种配送履约与生产用量统计,配送员注册认证与准入管理",研发,,2026-07-22 00:00:00,2026-08-05 00:00:00,112,未开始,,,V1.0,VER-16
20,公司后台/系统管理端、配置中心、合规审计与事件白名单,高 - P0,"公司后台与系统管理端开发范围,合规日志、数据加密、备份与审计导出,后台数据大屏与告警中心,水卡后台运营：代客绑卡、批量开卡、迁移与后台充值,后端事件模型与 n8n 可订阅白名单,后台系统配置、页面装修与入口开关",研发,,2026-07-18 00:00:00,2026-08-08 00:00:00,168,未开始,,,V1.0,VER-17
21,机主端只读骨架：经营看板、设备状态、流水与报修入口,中 - P1,机主端功能开发范围,研发,,2026-07-25 00:00:00,2026-08-08 00:00:00,112,未开始,,,V1.0,VER-18
22,设备、水卡、扫码规则、运维工单与授权扩展模型,高 - P0,"套餐兑换汇率、价格快照与退款折算,运维告警工单与巡检闭环,设备中控运营控制中心,设备二维码、万能码与扫码价格规则,设备迁移换机与资质合规档案,设备机组与水卡授权范围模型,实体水卡刷卡在线授权与离线策略,计时启动型共享设备预留模型",研发,,2026-07-15 00:00:00,2026-08-12 00:00:00,224,未开始,,,V1.0,VER-19
23,工程底座、正式 OpenAPI、测试专项、Bug 风险与上线闭环,高 - P0,"试运行上线、灰度回滚与数据迁移,培训交接、客服 SOP 与维护 SLA,基础环境、CI/CD、监控告警与域名 SSL 交付,API 合同治理与正式 OpenAPI 交付,性能测试与安全测试专项验收,Bug 风险闭环与 P0/P1 清零规则",测试,,2026-07-05 00:00:00,2026-08-18 00:00:00,352,未开始,,,V1.0,VER-20
24,渠道端一期预留、推送码归属、商城归因与分润边界,中 - P1,"渠道端基础预留与后续开发范围,推送码归属、换绑与申诉规则,第三方商城推荐归因与分润回传,分润收益钱包与收益流水脱敏展示,消费激励池、直推间推与财务边界",产品经理,,2026-07-18 00:00:00,2026-08-08 00:00:00,168,未开始,,,V1.0,VER-21
25,二期健康预约、会员营销与消息中心预留,低 - P2,"会员等级、积分与卡券权益体系,健康体检预约入口与接口预留,消息中心与微信订阅通知事件",产品经理,,2026-08-19 00:00:00,2026-09-30 00:00:00,336,未开始,,,V2.0,VER-22
