源表行号,任务名称,需求场景,PRD,自动创建子任务,关联项目,优先级,需求来源,需求状态,需求负责 PM,需求群,建群按钮,其他,推进版本（自动查询）,②版本开发计划-关联需求,项目汇总-项目关联需求（需求池中需求）,关联父任务,Epic,阶段,范围分级,验收标准,需求ID,依赖项,阻塞原因,来源类型补充,一期口径,是否MVP必需,负责人角色建议,事实来源,验收补充,风险与阻塞补充,本地来源文档,完善动作,本地MVP映射,AI执行判断,AI下一步动作,AI输出位置,AI验证方式,人工确认点
13,机主经营看板,机主查看设备经营数据、收益和消费流水,来源：六维达康项目资料；需求编号：REQ-012,,六维达康水站项目（需求池完善副本）,P1,客户反馈,收集需求,,,建群,,,后台管理、权限日志与经营看板,六维达康水站项目（需求池完善副本）,,机主端,一期,一期重要,可查看设备状态、收益统计、消费流水,REQ-012,订单、分账、设备数据,,正式PRD,商业一期,否,后台,后端数据库,补一期不开放高风险远程控制，收益先占位,无新增阻塞；按补充验收执行。,机主端方案,补一期不开放高风险远程控制，收益先占位,无,外部阻塞,等待外部资料、资质、协议或财务规则到位；当前只沉淀接口、字段、风险和验收清单。,water-station/docs/requirements/；water-station/docs/planning/,外部资料到位后通过联调、验签、对账、设备回执或人工验收证明；当前不作为 MVP 完成条件。,需人工确认业务口径、验收边界和是否进入本期。
14,设备状态监控,机主查看设备在线、故障、出水中、维护中等状态,来源：六维达康项目资料；需求编号：REQ-013,,六维达康水站项目（需求池完善副本）,P0,客户反馈,收集需求,,,建群,,,后台管理、权限日志与经营看板,六维达康水站项目（需求池完善副本）,,机主端,一期,一期必需,设备状态可实时或准实时展示，故障可提示,REQ-013,心跳、状态上报、故障码,,仓库MVP,30天MVP,是,设备,甲方设备,补在线/离线/故障/维护/出水中状态与下单阻断,无新增阻塞；按补充验收执行。,设备终端管理、MVP 设备模型,补在线/离线/故障/维护/出水中状态与下单阻断,"R15,R26",可直接执行,"按 R15,R26 拆成本地任务；优先产出 mock/模拟闭环所需的文档、接口、页面、模型、测试或验收证据。",water-station/docs/requirements/；water-station/docs/planning/,用本地文档、接口/页面行为、测试或手工验收记录证明；核心链路需留下订单-命令-ACK-审计日志证据。,无新增人工确认；按 30 天 MVP mock/模拟闭环执行，真实外部能力不进入本轮。
15,报修售后与配件申请,机主提交设备报修或配件申请,来源：六维达康项目资料；需求编号：REQ-014,,六维达康水站项目（需求池完善副本）,P1,客户反馈,收集需求,,,建群,,,后台管理、权限日志与经营看板,六维达康水站项目（需求池完善副本）,,机主端,一期,一期重要,可创建报修单，后台可处理,REQ-014,故障分类、报修流程,,正式PRD,商业一期,否,运维,飞书协作,补告警、报修、SIM、滤芯字段，MVP 只做模型占位,无新增阻塞；按补充验收执行。,运维告警报修售后,补告警、报修、SIM、滤芯字段，MVP 只做模型占位,R26,可直接执行,按 R26 拆成本地任务；优先产出 mock/模拟闭环所需的文档、接口、页面、模型、测试或验收证据。,water-station/docs/requirements/；water-station/docs/planning/,用本地文档、接口/页面行为、测试或手工验收记录证明；核心链路需留下订单-命令-ACK-审计日志证据。,无新增人工确认；按 30 天 MVP mock/模拟闭环执行，真实外部能力不进入本轮。
16,水配送接单与配送,配送员接收水订单并完成配送,来源：六维达康项目资料；需求编号：REQ-015,,六维达康水站项目（需求池完善副本）,P0,客户反馈,收集需求,,,建群,,,一期水配送、拍照签收与申诉,六维达康水站项目（需求池完善副本）,,配送端,一期,一期必需,配送员可接单、更新配送状态,REQ-015,配送员账号、配送范围、订单规则,,正式PRD,骨架方案,骨架,配送,甲方设备,配送骨架需满足三照、GPS、时间戳、24 小时申诉；配送员不得扣水卡、改价格、改设备状态。,MVP 只做模型、页面或字段骨架，真实业务闭环需二次评审。,配送端方案,补配送员只能处理履约，不得扣水卡、改价格、改设备,R21,可直接执行,按 R21 拆成本地任务；优先产出 mock/模拟闭环所需的文档、接口、页面、模型、测试或验收证据。,water-station/apps/miniprogram/；water-station/services/api/；water-station/docs/ops/,用本地文档、接口/页面行为、测试或手工验收记录证明；核心链路需留下订单-命令-ACK-审计日志证据。,无新增人工确认；按 30 天 MVP mock/模拟闭环执行，真实外部能力不进入本轮。
17,拍照签收,配送员拍照签收以证明已送达,来源：六维达康项目资料；需求编号：REQ-016,,六维达康水站项目（需求池完善副本）,P0,客户反馈,收集需求,,,建群,,,一期水配送、拍照签收与申诉,六维达康水站项目（需求池完善副本）,,配送端,一期,一期必需,支持上传签收照片，后台和用户可查看,REQ-016,图片存储、照片规范,,会议确认,骨架方案,骨架,配送,飞书协作,配送骨架需满足三照、GPS、时间戳、24 小时申诉；配送员不得扣水卡、改价格、改设备状态。,MVP 只做模型、页面或字段骨架，真实业务闭环需二次评审。,会议确认、三照签收,补门牌/水量/环境三照、GPS、时间戳、缺一不可,R22,可直接执行,按 R22 拆成本地任务；优先产出 mock/模拟闭环所需的文档、接口、页面、模型、测试或验收证据。,water-station/apps/miniprogram/；water-station/services/api/；water-station/docs/ops/,用本地文档、接口/页面行为、测试或手工验收记录证明；核心链路需留下订单-命令-ACK-审计日志证据。,无新增人工确认；按 30 天 MVP mock/模拟闭环执行，真实外部能力不进入本轮。
18,用户 24 小时申诉,用户在签收后限定时间内对配送异常申诉,来源：六维达康项目资料；需求编号：REQ-017,,六维达康水站项目（需求池完善副本）,P1,客户反馈,收集需求,,,建群,,,一期水配送、拍照签收与申诉,六维达康水站项目（需求池完善副本）,,配送端,一期,一期重要,24 小时内可申诉，后台可处理,REQ-017,申诉规则、客服处理流程,,正式PRD,骨架方案,骨架,配送,飞书协作,配送骨架需满足三照、GPS、时间戳、24 小时申诉；配送员不得扣水卡、改价格、改设备状态。,MVP 只做模型、页面或字段骨架，真实业务闭环需二次评审。,送水方案,补 24 小时申诉、通知、客服处理 SLA 待确认,R22,可直接执行,按 R22 拆成本地任务；优先产出 mock/模拟闭环所需的文档、接口、页面、模型、测试或验收证据。,water-station/apps/miniprogram/；water-station/services/api/；water-station/docs/ops/,用本地文档、接口/页面行为、测试或手工验收记录证明；核心链路需留下订单-命令-ACK-审计日志证据。,无新增人工确认；按 30 天 MVP mock/模拟闭环执行，真实外部能力不进入本轮。
19,用户管理,后台查看和管理用户、手机号、水卡、消费记录,来源：六维达康项目资料；需求编号：REQ-018,,六维达康水站项目（需求池完善副本）,P0,客户反馈,收集需求,,,建群,,,后台管理、权限日志与经营看板,六维达康水站项目（需求池完善副本）,,后台,一期,一期必需,后台可查询用户和关键账户信息,REQ-018,用户模型、权限模型,,正式PRD,30天MVP,骨架,后台,后端数据库,MVP 先 mock 用户和只读信息，真实权限二期加强,MVP 只做模型、页面或字段骨架，真实业务闭环需二次评审。,后台方案、权限边界,MVP 先 mock 用户和只读信息，真实权限二期加强,"R4,R23",可直接执行,"按 R4,R23 拆成本地任务；优先产出 mock/模拟闭环所需的文档、接口、页面、模型、测试或验收证据。",water-station/apps/admin/；water-station/services/api/；water-station/docs/admin/,用本地文档、接口/页面行为、测试或手工验收记录证明；核心链路需留下订单-命令-ACK-审计日志证据。,无新增人工确认；按 30 天 MVP mock/模拟闭环执行，真实外部能力不进入本轮。
20,水站管理,后台管理水站基础信息、位置和归属,来源：六维达康项目资料；需求编号：REQ-019,,六维达康水站项目（需求池完善副本）,P0,客户反馈,收集需求,,,建群,,,后台管理、权限日志与经营看板,六维达康水站项目（需求池完善副本）,,后台,一期,一期必需,可新增/编辑水站，关联设备和机主,REQ-019,水站资料、位置资料,,正式PRD,30天MVP,是,后端,后端数据库,补 stationId、位置、状态、ownerId 占位,无新增阻塞；按补充验收执行。,领域模型、后台看板,补 stationId、位置、状态、ownerId 占位,"R4,R14,R23",可直接执行,"按 R4,R14,R23 拆成本地任务；优先产出 mock/模拟闭环所需的文档、接口、页面、模型、测试或验收证据。",water-station/apps/admin/；water-station/services/api/；water-station/docs/admin/,用本地文档、接口/页面行为、测试或手工验收记录证明；核心链路需留下订单-命令-ACK-审计日志证据。,无新增人工确认；按 30 天 MVP mock/模拟闭环执行，真实外部能力不进入本轮。
21,设备管理,后台管理设备编号、型号、状态、固件版本和绑定关系,来源：六维达康项目资料；需求编号：REQ-020,,六维达康水站项目（需求池完善副本）,P0,客户反馈,收集需求,,,建群,,,后台管理、权限日志与经营看板,六维达康水站项目（需求池完善副本）,,后台,一期,一期必需,可建档设备并查看状态、故障和指令记录,REQ-020,设备资料、协议字段,,设备技术方案,30天MVP,是,设备,甲方设备,补 deviceId、deviceCode、status、heartbeat、TDS、滤芯,无新增阻塞；按补充验收执行。,领域模型、设备管理,补 deviceId、deviceCode、status、heartbeat、TDS、滤芯,"R4,R10,R23",可直接执行,"按 R4,R10,R23 拆成本地任务；优先产出 mock/模拟闭环所需的文档、接口、页面、模型、测试或验收证据。",water-station/apps/admin/；water-station/services/api/；water-station/docs/admin/,用本地文档、接口/页面行为、测试或手工验收记录证明；核心链路需留下订单-命令-ACK-审计日志证据。,无新增人工确认；按 30 天 MVP mock/模拟闭环执行，真实外部能力不进入本轮。
22,水种、价格、套餐配置,运营配置水种、价格和水卡套餐,来源：六维达康项目资料；需求编号：REQ-021,,六维达康水站项目（需求池完善副本）,P0,客户反馈,收集需求,,,建群,,,后台管理、权限日志与经营看板,六维达康水站项目（需求池完善副本）,,后台,一期,一期必需,后台配置后前端价格和权益计算正确,REQ-021,8 种水定义、价格体系、套餐规则,,正式PRD,骨架方案,骨架,后台,后端数据库,补价格快照、消费系数、组合复杂度风险,MVP 只做模型、页面或字段骨架，真实业务闭环需二次评审。,多品类水、差异化定价,补价格快照、消费系数、组合复杂度风险,R17,可直接执行,按 R17 拆成本地任务；优先产出 mock/模拟闭环所需的文档、接口、页面、模型、测试或验收证据。,water-station/apps/admin/；water-station/services/api/；water-station/docs/admin/,用本地文档、接口/页面行为、测试或手工验收记录证明；核心链路需留下订单-命令-ACK-审计日志证据。,无新增人工确认；按 30 天 MVP mock/模拟闭环执行，真实外部能力不进入本轮。
23,订单管理,后台查询取水订单、充值订单、水配送订单和异常订单,来源：六维达康项目资料；需求编号：REQ-022,,六维达康水站项目（需求池完善副本）,P0,客户反馈,收集需求,,,建群,,,"后台管理、权限日志与经营看板,订单流水、异常补偿与后台追溯",六维达康水站项目（需求池完善副本）,,后台,一期,一期必需,订单可按状态查询，异常可追溯,REQ-022,订单模型、支付状态、设备回执,,设备技术方案,30天MVP,是,后端,后端数据库,补 created/command_pending/completed/failed/timeout_failed,无新增阻塞；按补充验收执行。,状态机、验收清单,补 created/command_pending/completed/failed/timeout_failed,"R3,R5,R6,R16,R23",可直接执行,"按 R3,R5,R6,R16,R23 拆成本地任务；优先产出 mock/模拟闭环所需的文档、接口、页面、模型、测试或验收证据。",water-station/apps/admin/；water-station/services/api/；water-station/docs/admin/,用本地文档、接口/页面行为、测试或手工验收记录证明；核心链路需留下订单-命令-ACK-审计日志证据。,无新增人工确认；按 30 天 MVP mock/模拟闭环执行，真实外部能力不进入本轮。
24,财务流水与对账,财务/运营查看支付、退款、消费、分账流水,来源：六维达康项目资料；需求编号：REQ-023,,六维达康水站项目（需求池完善副本）,P0,客户反馈,收集需求,,,建群,,,"后台管理、权限日志与经营看板,订单流水、异常补偿与后台追溯",六维达康水站项目（需求池完善副本）,,后台,一期,一期必需,支付、退款、消费、分账流水可追溯,REQ-023,微信支付、退款、分账、订单流水,,正式PRD,商业一期,否,支付财务,微信支付,补永久流水、退款审批、每日对账，MVP 不真实扣款,无新增阻塞；按补充验收执行。,三账户、支付分账,补永久流水、退款审批、每日对账，MVP 不真实扣款,R24,可直接执行,按 R24 拆成本地任务；优先产出 mock/模拟闭环所需的文档、接口、页面、模型、测试或验收证据。,water-station/apps/admin/；water-station/services/api/；water-station/docs/admin/,用本地文档、接口/页面行为、测试或手工验收记录证明；核心链路需留下订单-命令-ACK-审计日志证据。,无新增人工确认；按 30 天 MVP mock/模拟闭环执行，真实外部能力不进入本轮。
25,操作日志和权限,记录后台操作并按角色控制高风险操作,来源：六维达康项目资料；需求编号：REQ-024,,六维达康水站项目（需求池完善副本）,P0,客户反馈,收集需求,,,建群,,,后台管理、权限日志与经营看板,六维达康水站项目（需求池完善副本）,,后台,一期,一期必需,高风险操作有权限控制和日志,REQ-024,权限模型,,正式PRD,30天MVP,是,后端,后端数据库,补订单/命令/ACK 状态变化必写 AuditLog,无新增阻塞；按补充验收执行。,审计日志规则,补订单/命令/ACK 状态变化必写 AuditLog,"R4,R9,R32",可直接执行,"按 R4,R9,R32 拆成本地任务；优先产出 mock/模拟闭环所需的文档、接口、页面、模型、测试或验收证据。",water-station/apps/admin/；water-station/services/api/；water-station/docs/admin/,用本地文档、接口/页面行为、测试或手工验收记录证明；核心链路需留下订单-命令-ACK-审计日志证据。,无新增人工确认；按 30 天 MVP mock/模拟闭环执行，真实外部能力不进入本轮。
26,设备唯一编号和基础档案,平台用唯一编号识别设备并绑定业务信息,来源：六维达康项目资料；需求编号：REQ-025,,六维达康水站项目（需求池完善副本）,P0,客户反馈,收集需求,,,建群,,,"设备档案、水站档案与二维码识别,硬件接口确认与联调资源准备",六维达康水站项目（需求池完善副本）,,设备接入,一期,一期必需,设备编号全局唯一，可绑定水站/出水口,REQ-025,设备编号规则、设备资料,,设备技术方案,30天MVP,是,设备,甲方设备,补唯一设备 ID、二维码规则、绑定水站/出水口,无新增阻塞；按补充验收执行。,设备厂对接清单,补唯一设备 ID、二维码规则、绑定水站/出水口,"R7,R27",可直接执行,"按 R7,R27 拆成本地任务；优先产出 mock/模拟闭环所需的文档、接口、页面、模型、测试或验收证据。",water-station/services/iot/；water-station/services/api/；water-station/docs/iot/,用本地文档、接口/页面行为、测试或手工验收记录证明；核心链路需留下订单-命令-ACK-审计日志证据。,无新增人工确认；按 30 天 MVP mock/模拟闭环执行，真实外部能力不进入本轮。
27,通信协议接入,平台按照硬件协议接入设备通信,来源：六维达康项目资料；需求编号：REQ-026,,六维达康水站项目（需求池完善副本）,P0,客户反馈,收集需求,,,建群,,,"设备通信协议、心跳状态与故障码,硬件接口确认与联调资源准备",六维达康水站项目（需求池完善副本）,,设备接入,一期,一期必需,测试设备可连接测试环境并认证通过,REQ-026,HTTP/MQTT/TCP 协议、认证、加密,,设备技术方案,商业一期,否,设备,甲方设备,真实设备接入前需拿到协议、样机、topic、命令、ACK、故障码、心跳、去重规则；MVP 先用模拟器验收。,阻塞：设备厂协议、样机、broker/topic/cert、命令与 ACK 语义未确认。,设备厂对接清单,补 MQTT/HTTP/TCP 待确认、broker/cert/topic 阻塞,R27,可直接执行,按 R27 拆成本地任务；优先产出 mock/模拟闭环所需的文档、接口、页面、模型、测试或验收证据。,water-station/services/iot/；water-station/services/api/；water-station/docs/iot/,用本地文档、接口/页面行为、测试或手工验收记录证明；核心链路需留下订单-命令-ACK-审计日志证据。,无新增人工确认；按 30 天 MVP mock/模拟闭环执行，真实外部能力不进入本轮。
28,MQTT/消息主题规则,定义心跳、状态、遥测、指令、回执等主题,来源：六维达康项目资料；需求编号：REQ-027,,六维达康水站项目（需求池完善副本）,P0,客户反馈,收集需求,,,建群,,,"设备通信协议、心跳状态与故障码,硬件接口确认与联调资源准备",六维达康水站项目（需求池完善副本）,,设备接入,一期,一期必需,设备消息可按主题正确路由和追踪,REQ-027,Broker、主题、QoS、保活,,设备技术方案,商业一期,否,设备,甲方设备,真实设备接入前需拿到协议、样机、topic、命令、ACK、故障码、心跳、去重规则；MVP 先用模拟器验收。,阻塞：设备厂协议、样机、broker/topic/cert、命令与 ACK 语义未确认。,设备协议草案,补 topic、QoS、保活、重传、去重；MVP 先 HTTP/mock,R28,可直接执行,按 R28 拆成本地任务；优先产出 mock/模拟闭环所需的文档、接口、页面、模型、测试或验收证据。,water-station/services/iot/；water-station/services/api/；water-station/docs/iot/,用本地文档、接口/页面行为、测试或手工验收记录证明；核心链路需留下订单-命令-ACK-审计日志证据。,无新增人工确认；按 30 天 MVP mock/模拟闭环执行，真实外部能力不进入本轮。
